,translations,test:macos,test:linux,inkscape:windows:x64,inkscape:macos,appimage:linux,inkscape:linux
1704,False,True,True,True,True,True,True
1724,False,True,True,True,True,True,True
1729,False,True,True,True,True,True,True
1732,False,True,True,True,True,True,True
1747,True,True,True,False,True,True,True
1748,True,True,True,False,True,True,True
1749,True,True,True,False,True,True,True
1750,True,True,True,False,True,True,True
1751,True,True,True,False,True,True,True
1752,True,True,True,False,True,True,True
1753,True,True,True,False,True,True,True
1754,True,True,True,False,True,True,True
1755,True,True,True,False,True,True,True
1756,True,True,True,False,True,True,True
1757,True,True,True,False,True,True,True
1758,True,True,True,False,True,True,True
1759,True,True,True,False,True,True,True
1760,True,True,True,False,True,True,True
1761,True,True,True,False,True,True,True
1762,True,True,True,False,True,True,True
1763,True,True,True,False,True,True,True
1764,True,True,True,False,True,True,True
1765,True,True,True,False,True,True,True
1766,True,True,True,False,True,True,True
1767,True,True,True,False,True,True,True
1768,True,True,True,False,True,True,True
1769,True,True,True,False,True,True,True
1770,True,True,True,False,True,True,True
1771,True,True,True,False,True,True,True
1772,True,True,True,False,True,True,True
1773,True,True,True,False,True,True,True
1774,True,True,True,False,True,True,True
1775,True,True,True,False,True,True,True
1776,True,True,True,False,True,True,True
1777,True,True,True,False,True,True,True
1778,True,True,True,False,True,True,True
1779,True,True,True,False,True,True,True
1780,True,True,True,False,True,True,True
1781,True,True,True,False,True,True,True
1782,True,True,True,False,True,True,True
1783,True,True,True,False,True,True,True
1784,True,True,True,False,True,True,True
1785,False,True,True,False,True,True,True
1786,True,True,True,False,True,True,True
1787,True,True,True,False,True,True,True
1788,True,True,True,False,True,True,True
1789,True,True,True,False,True,True,True
1790,True,True,True,False,True,True,True
1791,True,True,True,False,True,True,True
1792,True,True,True,False,True,True,True
1793,True,True,True,False,True,True,True
1794,True,True,True,False,True,True,True
1795,True,True,True,False,True,True,True
1796,True,True,True,False,True,True,True
1797,True,True,True,False,True,True,True
1798,True,True,True,False,True,True,True
1799,True,True,True,False,True,True,True
1800,True,True,True,False,True,True,True
1801,True,True,True,False,True,True,True
1802,True,True,True,False,True,True,True
1803,True,True,True,False,True,True,True
1804,True,True,True,False,True,True,True
1805,True,True,True,False,True,True,True
1821,True,True,True,False,True,True,True
1827,False,True,True,False,True,True,True
1832,True,True,True,False,True,True,True
1833,True,True,True,False,True,True,True
1834,True,True,True,False,True,True,True
1835,True,True,True,False,True,True,True
1836,True,True,True,False,True,True,True
1837,True,True,True,False,True,True,True
1838,True,True,True,False,True,True,True
1839,True,True,True,False,True,True,True
1840,True,True,True,False,True,True,True
1841,True,True,True,False,True,True,True
1842,True,True,True,False,True,True,True
1843,True,True,True,False,True,True,True
1844,True,True,True,False,True,True,True
1845,True,True,True,False,True,True,True
1846,True,True,True,False,True,True,True
1847,True,True,True,False,True,True,True
1848,True,True,True,False,True,True,True
1849,True,True,True,False,True,True,True
1850,True,True,True,False,True,True,True
1851,True,True,True,False,True,True,True
1852,True,True,True,False,True,True,True
1853,True,True,True,False,True,True,True
1854,True,True,True,False,True,True,True
1855,True,True,True,False,True,True,True
1856,True,True,True,False,True,True,True
1857,True,True,True,False,True,True,True
1858,True,True,True,False,True,True,True
1859,True,True,True,False,True,True,True
1860,True,True,True,False,True,True,True
1861,True,True,True,False,True,True,True
1862,True,True,True,False,True,True,True
1863,True,True,True,False,True,True,True
1864,True,True,True,False,True,True,True
1865,True,True,True,False,True,True,True
1866,True,True,True,False,True,True,True
1867,True,True,True,False,True,True,True
1868,True,True,True,False,True,True,True
1869,True,True,True,False,True,True,True
1870,True,True,True,False,True,True,True
1871,True,True,True,False,True,True,True
1872,True,True,True,False,True,True,True
1873,True,True,True,False,True,True,True
1874,True,True,True,False,True,True,True
1875,True,True,True,False,True,True,True
1876,True,True,True,False,True,True,True
1877,True,True,True,False,True,True,True
1878,True,True,True,False,True,True,True
1879,True,True,True,False,True,True,True
1880,True,True,True,False,True,True,True
1881,True,True,True,False,True,True,True
1882,True,True,True,False,True,True,True
1883,True,True,True,False,True,True,True
1884,True,True,True,False,True,True,True
1885,True,True,True,False,True,True,True
1886,True,True,True,False,True,True,True
1887,True,True,True,False,True,True,True
1888,True,True,True,False,True,True,True
1889,True,True,True,False,True,True,True
1890,False,True,True,False,True,True,True
1891,False,True,True,False,True,True,True
1892,True,True,True,False,True,True,True
1893,True,True,True,False,True,True,True
1894,True,True,True,False,True,True,True
1895,True,True,True,False,True,True,True
1896,True,True,True,False,True,True,True
1897,True,True,True,False,True,True,True
1898,False,True,True,False,True,True,True
1900,False,True,True,False,True,True,True
1901,True,False,False,True,True,True,True
1913,True,False,False,True,True,True,True
1916,True,False,False,True,True,True,True
1918,False,True,True,True,True,True,True
1920,False,True,True,True,True,True,True
1923,True,False,False,True,True,True,True
1924,True,False,False,True,True,True,True
1927,True,False,False,True,True,True,True
1936,True,True,True,False,True,True,True
1943,False,True,True,True,True,True,True
1947,False,True,True,True,True,True,True
1982,True,False,False,True,True,True,True
1983,True,False,False,True,True,True,True
1991,True,True,True,False,True,True,True
1992,True,True,True,False,True,True,True
1993,True,True,True,False,True,True,True
1994,True,True,True,False,True,True,True
1995,True,True,True,False,True,True,True
1996,True,True,True,False,True,True,True
1997,False,True,True,False,True,True,True
1998,True,True,True,False,True,True,True
1999,True,True,True,False,True,True,True
2000,False,True,True,False,True,True,True
2001,False,True,True,False,True,True,True
2002,True,True,True,False,True,True,True
2003,True,True,True,False,True,True,True
2004,True,True,True,False,True,True,True
2005,True,True,True,False,True,True,True
2006,True,True,True,False,True,True,True
2007,True,True,True,False,True,True,True
2008,True,True,True,False,True,True,True
2009,True,True,True,False,True,True,True
2010,True,True,True,False,True,True,True
2011,True,True,True,False,True,True,True
2012,True,True,True,False,True,True,True
2013,False,True,True,False,True,True,True
2014,False,True,True,False,True,True,True
2015,True,True,True,False,True,True,True
2016,True,True,True,False,True,True,True
2017,True,True,True,False,True,True,True
2018,True,True,True,False,True,False,True
2019,True,True,True,False,True,True,True
2021,False,True,True,False,True,True,True
2022,True,True,True,False,True,True,True
2023,True,True,True,False,True,True,True
2024,True,True,True,False,True,True,True
2025,True,True,True,False,True,True,True
2026,True,True,True,False,True,True,True
2027,True,True,True,False,True,True,True
2028,True,True,True,False,True,True,True
2029,True,True,True,False,True,True,True
2030,True,True,True,False,True,True,True
2031,True,True,True,False,True,True,True
2032,True,True,True,False,True,True,True
2033,True,True,True,False,True,True,True
2034,True,True,True,False,True,True,True
2035,False,True,True,False,True,True,True
2036,True,True,True,False,True,True,True
2037,True,True,True,False,True,True,True
2038,True,True,True,False,True,True,True
2039,True,True,True,False,True,True,True
2051,True,False,False,True,True,True,True
2069,False,True,True,True,True,True,True
2079,False,True,True,True,True,True,True
2080,False,True,True,False,True,True,True
2082,True,True,True,False,True,True,True
2083,False,True,True,False,True,True,True
2084,True,True,True,False,True,True,True
2085,True,True,True,False,True,True,True
2087,True,True,True,False,True,True,True
2088,True,True,True,False,True,True,True
2089,True,True,True,False,True,True,True
2096,True,True,True,False,True,True,True
2099,True,True,True,False,True,True,True
2100,True,True,True,False,True,True,True
2101,True,True,True,False,True,True,True
2102,True,True,True,False,True,True,True
2104,True,True,True,False,True,True,True
2105,True,True,True,False,True,True,True
2107,True,True,True,False,True,True,True
2108,True,True,True,False,True,True,True
2109,True,True,True,False,True,True,True
2110,True,True,True,False,True,True,True
2111,True,True,True,False,True,True,True
2112,True,True,True,False,True,True,True
2113,True,True,True,False,True,True,True
2114,True,True,True,False,True,True,True
2115,True,True,True,False,True,True,True
2116,False,True,True,False,True,True,True
2117,True,True,True,False,True,True,True
2118,True,True,True,False,True,True,True
2119,False,True,True,False,True,True,True
2120,True,True,True,False,True,True,True
2121,True,True,True,False,True,True,True
2122,True,True,True,False,True,True,True
2123,True,True,True,False,True,True,True
2124,True,True,True,False,True,True,True
2125,True,True,True,False,True,True,True
2126,True,True,True,False,True,True,True
2127,True,True,True,False,True,True,True
2128,True,True,True,False,True,True,True
2129,True,True,True,False,True,True,True
2130,True,True,True,False,True,True,True
2131,True,True,True,False,True,True,True
2133,False,True,True,True,True,True,True
2134,False,True,True,True,True,True,True
2142,False,False,False,False,True,True,True
2144,True,True,True,False,True,True,True
2152,True,True,True,False,True,True,True
2160,True,False,True,True,True,True,True
2161,True,False,True,True,True,True,True
